"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"23132-87",0.467758586657441,0.829079852996932,0.660268811497445,0.972403154690709,0.10582257662694,0.706730410180386,0.0770693887800807,0.762228407281498,0.149811765305519,0.308773263406463,0.493624308584295,0.492571789209593,0.192280635255925,0.380458120748034,0.354949689688845,0.501229363700925,0.721593491718078,0.142715276338391,0.567894173764405,0.891725245496413,0.459266258115428,0.493237226828944,0.322057738370693,0.767606109999984,0.322339970371771,0.378782971447044,0.623515859861195,0.509380784644403,0.476333851027205,0.278345752355003,0.78285980597926
"5637",0.0226483339042467,0.29554357165359,0.549922444223692,0.672868091847129,0.163907441972954,0.999990605918839,0.313989686085161,0.0867019533441438,0.750621692517049,0.71484970272051,0.229575023977037,0.447642888556099,0.733092875630802,0.534776635400079,0.715229181834924,0.850722340940495,0.477643912666522,0.426345157403474,0.548512720708402,0.429636216972211,0.427330355812646,0.6130006821258,0.161300513007822,0.461845298630565,0.631177574472122,0.592638606742871,0.436742979442213,0.493484209776008,0.428615219841329,0.757620230476019,0.72923690432913
"639-V",0.198685916027966,0.567198242061434,0.683855504537947,0.312273047700666,0.121235702483596,0.997154537575419,0.216208548618887,0.294744216451624,0.4802228328355,0.747500709499803,0.256599183929464,0.545442689333815,0.653309003564674,0.159940370430194,0.35377340579695,0.666487900604258,0.684129325927342,0.723128574203364,0.661628767015584,0.530382219271992,0.252795881267809,0.634761068315699,0,0.709605463066027,0.388836830751103,0.725753195709498,0.477061562053096,0.609484623391171,0.59263121083519,0.327605344366959,0.432412775760685
"647-V",0.181557591149669,0.611490697775402,0.685044744083895,0.245882610222233,0.46425902652291,0.999917268740772,0.220867733289367,0.281261850623499,0.474090408496146,0.771867672649426,0.230020361383427,0.546249715885868,0.908841656603743,0.512942212158957,0.577573088261799,0.651431405856983,0.494555453251728,0.797430189788274,0.568894751704785,0.644327204114235,0.113342032657871,0.572536895492503,0.835200363879327,0.402321185986677,0.641581719093993,0.446119027203419,0.551374532008387,0.424593208831931,0.657690600517205,0.438517459652567,0.95471696637094
"697",0.778190962950999,0.468732762569568,0.732136468328873,0.24975725064897,0.328347586639874,0.0153116193057779,0.507893597704386,0.56877499118149,0.423769669928259,0.409442482509612,0.628251743893092,0.520302386577738,0.539115462829731,0.928986788651002,0.821237048987532,0.922933640446106,0.512133564909624,0.862048588916202,0.223729656279263,0.684385357069246,0.787090999207087,0.241134970933908,0.241712747264123,0.268827351846663,0.60318012181742,0.516426758786012,0.420365443877802,0.180484625533513,0.349264965972354,0.63921382719715,0.317231960742467
"786-0",0.535117184391053,0.723843053475359,0.774715066710584,0.592960989875253,0.520702863602912,0.999990185121501,0.43768868151469,0.396753270025508,0.255733179456859,0.767650359634572,0.433495409237478,0.811009337085572,0.828990988427991,0.789920120956092,0.613312736108942,0.490692654224106,0.232765278682355,0.558610299300624,0.741748037741708,0.141760887363075,0.364534425995939,0.667354006437276,0.402623912919461,0.7001167873294,0.609311499707856,0.55856246851283,0.481497623960023,0.68451787818443,0.401825132817627,0.753565307064051,0.286591542669586
"8-MG-BA",0.715787730631705,0.745548523718187,0.479170317045551,0.936295632576956,0.665100367776389,0.999345417258803,0.537153827789561,0.674726420901719,0.447445640359527,0.740770765103612,0.436959415800505,0.326873104088079,0.272412862396268,0.324036724066044,0.169768099287481,0.398812927757859,0.781604682691029,0.378687737109018,0.762080242572994,0.531943489405557,0.443987850092799,0.426604023662588,0.181241278749826,0.42205354327979,0.506837759490639,0.48734179230893,0.527015194663361,0.767307843130942,0.625096146119705,0.252196187331759,0.693682650184218
"8505C",0.860737215560303,0.755454224987902,0.449105220482486,0.373437708157426,0.658906970801596,0.99996989454627,0.232708084711903,0.359943997100163,0.697308176347941,0.890861280324755,0.472841565658478,0.3838246736874,0.635732161398091,0.091710316579164,0.563455898907204,0.541622065778141,0.560549105689656,0.476772031601427,0.808983394631902,0.180369465578348,0.388409651024443,0.553847560067301,0.57678800558056,0.651382331484511,0.511432786813569,0.419000022248956,0.264041368583669,0.586046912810116,0.426341340029849,0.508752325394695,0.515636707575872
"A101D",0.612347360505881,0.550926374899061,0.413700627283962,0.429405971976819,0.744200898546325,0.554038373099959,0.720120194818392,0.615984168761582,0.469517373299215,0.693608597548581,0.786048774480317,0.302163573844033,0.153988223534692,0.640016616232161,0.164287434300402,0.43871269556289,0.541697622691254,0.0593129421444415,0.633834334464308,0.452890572573372,0.39552192245174,0.486043583794109,0.15027020470277,0.757422598754281,0.727654864806142,0.451455646685768,0.411620605135929,0.609841588983433,0.269562791676928,0.186697986079501,0.121045605856736
"A172",0.775034202447562,0.505545175815806,0.73463466215051,0.564502328656454,0.556654657117522,0.999976125622765,0.700611442123465,0.836285787902431,0.259219016438981,0.440636168880189,0.199537993171973,0.43339855696113,0.234472686161215,0.132633547875352,0.22410339207639,0.264168944331917,0.892194416368037,0.215358806192335,0.707343165181859,0.513616166558496,0.322389082062376,0.588019313784517,0.204237167219242,0.566178597364366,0.49239816730572,0.562036526708837,0.475850007733747,0.706215097717838,0.61042367510344,0.506728420516617,0.168256422883371
"A204",0.30452837092229,0.514590119075269,0.36363194555897,0.462225430218477,0.437497117794869,0.0199835774424467,0.839311093857008,0.680434481133941,0.0167882774455333,0.594800764216279,0.0802736617056865,0.201852912222297,0.10863068308802,0.384363580855393,0.453520705385077,0.532665341665125,0.763345685288948,0.327828483524969,0.338044355231003,0.387502579803618,0.876576761608814,0.311108935490948,0.409064559070686,0.885506228489891,0.779274587527666,0.386010533136224,0.525281794978206,0.465870590052553,0.240971920258129,0.22182830708923,0.0366639350818374
