"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"23132-87",1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,NA,NA,NA,NA,0,0,NA
"5637",0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,NA,NA,NA,NA,1,0
"639-V",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,NA,NA,1,NA,NA,0,NA
"647-V",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,NA,1,NA,1,0,1
"697",1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,NA,NA,NA,0,NA,NA,0
"786-0",1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,NA,NA,1,0,NA,0
"8-MG-BA",1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,NA,NA,NA,1,NA,0,0
"8505C",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,NA,0,NA,NA,0,0
"A101D",1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,0,0
"A172",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,NA,NA,NA,NA,0,0
"A204",0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,NA,NA,NA,0,0,0
"A2058",0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,NA,NA,NA,NA,0,NA
"A253",0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,NA,1,NA,0,NA,0
"A2780",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,NA,NA,1,NA,0,NA,0
"A3-KAW",0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,NA,NA,0,NA,NA,NA
"A375",1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,NA,1,1,NA,0,0
"A4-Fuk",0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,NA,NA,NA,0,NA,0
"A427",1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,0
"A431",1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,NA,NA,NA,NA,1,NA,0
"A498",1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,NA,NA,NA,NA,0,0,0
"A549",1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,NA,NA,NA,1,NA,0
"A673",0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,0,NA,0,NA
"A704",1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,0,NA,NA,0
"ABC-1",0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,NA,NA,1,NA,NA,NA,1
"ACHN",1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,NA,1,0,0,NA,0
"ACN",0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,NA,NA,1,NA,NA,NA,0
"AGS",1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,NA,NA,NA,NA,NA,0,NA
"ALL-PO",1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,NA,NA,0,NA,NA,NA
"AM-38",0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,NA,1,NA,NA,0,0
"AN3-CA",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,0,NA,1,NA,0
"ARH-77",1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,NA,1,0,NA,NA,0
"AsPC-1",0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,0,0
"ATN-1",0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,0,NA,NA,0
"BALL-1",1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0
"BB30-HNC",0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,NA,1,NA,0,NA,0
"BB49-HNC",1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,NA,NA,NA,0,0,0
"BB65-RCC",0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,0,0,NA,0
"BC-1",0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,NA,NA,NA,0,NA,NA,NA
"BC-3",0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,NA,NA,1,NA,NA,NA,NA
"BCPAP",0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,NA,NA,0,NA,0,NA,0
"BE-13",0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,NA,NA,1,NA,NA,NA
"Becker",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,NA,1,0,NA,NA,0
"BEN",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,0,0,NA
"BFTC-905",0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,0,NA,0,NA
"BFTC-909",1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,NA,NA,NA,0,0,0
"BHT-101",0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,NA,NA,NA,0,NA,NA,0
