"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"23132-87",1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0.666666666666667,0.166666666666667,0.5,0.5,0,0,0.5
"5637",0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0.5,0.5,0.5,0.5,1,0
"639-V",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0.666666666666667,0.666666666666667,1,0.5,0.5,0,0.5
"647-V",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0.5,1,0.5,1,0,1
"697",1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0.666666666666667,0.5,0.5,0,0.5,0.333333333333333,0
"786-0",1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0.666666666666667,0.5,1,0,0.333333333333333,0
"8-MG-BA",1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0.666666666666667,0.5,0.5,1,0.5,0,0
"8505C",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0.166666666666667,0,0.5,0.5,0,0
"A101D",1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0.333333333333333,0.5,0.5,0.5,0,0
"A172",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0.5,0.5,0.5,0.5,0,0
"A204",0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0.333333333333333,0.5,0.5,0,0,0
"A2058",0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.5
"A253",0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0.5,1,0.5,0,0.333333333333333,0
"A2780",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0.666666666666667,0.5,1,0.5,0,0.333333333333333,0
"A3-KAW",0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0.333333333333333,0.5,0,0.5,0.333333333333333,0.5
"A375",1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0.5,1,1,0.5,0,0
"A4-Fuk",0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0.5,0.5,0.5,0,0.333333333333333,0
"A427",1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0.5,0.5,0.5,0.333333333333333,0
"A431",1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0.666666666666667,0.333333333333333,0.5,0.5,1,0.333333333333333,0
"A498",1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0.333333333333333,0.5,0.5,0.5,0,0,0
"A549",1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0.666666666666667,0.5,0.5,1,0.333333333333333,0
"A673",0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.666666666666667,0.5,0,0.5,0,0.5
"A704",1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0.666666666666667,0.333333333333333,0.5,0,0.5,0.666666666666667,0
"ABC-1",0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.666666666666667,0.333333333333333,1,0.5,0.5,0.333333333333333,1
"ACHN",1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0.666666666666667,1,0,0,0.666666666666667,0
"ACN",0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0.666666666666667,0.5,1,0.5,0.5,0.333333333333333,0
"AGS",1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0,0.5
"ALL-PO",1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0.333333333333333,0.5,0,0.5,0.333333333333333,0.5
"AM-38",0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0.5,1,0.5,0.5,0,0
"AN3-CA",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.666666666666667,0.166666666666667,0,0.5,1,0.333333333333333,0
"ARH-77",1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0.5,1,0,0.5,0.333333333333333,0
"AsPC-1",0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.666666666666667,0.5,0.5,0.5,0.5,0,0
"ATN-1",0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0.666666666666667,0.5,0.5,0,0.5,0.333333333333333,0
"BALL-1",1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0.5,0.5,0.5,0.5,0.333333333333333,0
"BB30-HNC",0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0.666666666666667,1,0.5,0,0.333333333333333,0
"BB49-HNC",1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0.833333333333333,0.5,0.5,0,0,0
"BB65-RCC",0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.666666666666667,0.666666666666667,0.5,0,0,0.666666666666667,0
"BC-1",0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0.666666666666667,0.333333333333333,0.5,0,0.5,0.666666666666667,0.5
"BC-3",0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0.666666666666667,0.5,1,0.5,0.5,0.666666666666667,0.5
"BCPAP",0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.666666666666667,0.5,0,0.5,0,0.333333333333333,0
"BE-13",0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0.666666666666667,0.5,1,0.5,0.333333333333333,0.5
"Becker",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.333333333333333,1,0,0.5,0.333333333333333,0
"BEN",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.5,0.5,0.5,0,0,0.5
"BFTC-905",0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.666666666666667,0.5,0.5,0,0.5,0,0.5
"BFTC-909",1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0.666666666666667,0.5,0.5,0,0,0
"BHT-101",0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0.666666666666667,0.333333333333333,0.5,0,0.5,0.333333333333333,0
"BHY",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1,0.5,0.5,0,0
"BL-41",0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0.5,0.5,0,0.5,0,0
"BPH-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BT-20",1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0.666666666666667,0.166666666666667,1,0.5,0,0.666666666666667,1
